Wall time,Step,Value
1775282117.758593,2073,2120.0
1775282122.8891716,4409,1990.0
1775282127.49832,6490,1810.0
1775282132.6203396,8272,1580.0
1775282151.38691,11379,1613.3333740234375
1775282159.2387562,12688,1660.0
1775282180.0313888,16061,1733.3333740234375
1775282191.6410115,17931,1732.0
1775282211.5982203,21108,1608.3333740234375
1775282225.323511,23301,1596.923095703125
1775282235.0957499,24826,1511.4285888671875
1775282255.4171267,27940,1487.5
1775282270.7387805,30319,1551.7646484375
1775282292.3972385,33585,1553.3333740234375
1775282312.4694088,36595,1471.5789794921875
1775282336.667569,40171,1900.0
1775282360.0108476,43607,1843.6363525390625
1775282382.3124752,46827,1812.1739501953125
1775282404.5756695,50026,1750.4000244140625
1775282423.4650111,52725,1689.230712890625
1775282433.398217,54123,1664.4444580078125
1775282451.2495496,56634,1596.5517578125
1775282473.9087343,59805,1607.3333740234375
1775282484.2115,61255,1591.6129150390625
1775282499.5712478,63376,1539.3939208984375
1775282518.309218,65978,1525.88232421875
1775282536.555549,68494,1506.857177734375
1775282551.6774802,70582,1460.0
1775282575.1661613,73817,1458.4210205078125
1775282582.1780236,74792,1431.2821044921875
1775282592.2478247,76179,1365.3658447265625
1775282620.3383553,80027,1332.857177734375
1775282638.1241655,82465,1301.8604736328125
1775282650.0999982,84122,1276.888916015625
1775282671.259804,87043,1249.1304931640625
1775282680.5396,88349,1231.0638427734375
1775282689.6269777,89612,1214.2857666015625
1775282708.596195,92239,1193.199951171875
1775282729.2258055,95093,1202.3529052734375
1775282743.3761334,97078,1203.7735595703125
1775282761.9980652,99671,1188.888916015625
1775282774.608446,101409,1171.6363525390625
1775282783.0086036,102564,1169.4736328125
1775282806.8708792,105867,1171.72412109375
1775282814.537233,106921,1153.2203369140625
1775282830.816746,109188,1158.6884765625
1775282843.117496,110897,1145.1612548828125
1775282871.690231,114807,1140.3175048828125
1775282884.2887228,116550,1144.6153564453125
1775282917.1701336,121077,1240.0
1775282931.407242,123050,1228.9552001953125
1775282950.8994765,125744,1229.565185546875
1775282968.3839126,128157,1229.7142333984375
1775282981.324857,129935,1219.71826171875
1775282995.9104903,131939,1221.095947265625
1775283025.7159843,135996,1342.9730224609375
1775283035.1614325,137300,1344.5333251953125
1775283050.0837202,139347,1337.631591796875
1775283080.135934,143476,1334.1025390625
1775283102.533109,146552,1342.0252685546875
1775283117.4335356,148624,1345.25
1775283126.3314972,149860,1327.0731201171875
1775283146.4701338,152618,1317.831298828125
1775283164.7668102,155130,1311.6666259765625
1775283200.9365585,160081,1313.4884033203125
1775283222.3893497,163026,1314.02294921875
1775283235.283199,164814,1305.0
1775283255.55922,167610,1304.22216796875
1775283273.357189,170074,1305.4945068359375
1775283292.0415432,172646,1304.3477783203125
1775283311.2591825,175291,1311.9149169921875
1775283331.4443467,178087,1322.5263671875
1775283361.9572484,182287,1331.875
1775283382.9763982,185190,1321.4285888671875
1775283402.0886884,187845,1318.3837890625
1775283420.1464558,190324,1327.5999755859375
1775283434.5417438,192301,1311.5999755859375
1775283456.6039934,195343,1302.4000244140625
1775283471.4108822,197392,1307.5999755859375
1775283485.7539525,199362,1319.0
1775283505.023017,202008,1306.4000244140625
1775283517.4460464,203720,1312.0
1775283547.2769158,207782,1297.5999755859375
1775283568.4990854,210698,1289.5999755859375
1775283591.6392844,213907,1288.0
1775283603.2100358,215526,1303.0
1775283615.6696653,217253,1309.800048828125
1775283631.9433184,219497,1298.5999755859375
1775283640.42293,220673,1289.5999755859375
1775283666.896073,224321,1297.800048828125
1775283681.8775313,226385,1190.5999755859375
1775283694.2195475,228074,1191.199951171875
1775283714.5869076,230880,1193.800048828125
1775283733.958036,233524,1195.800048828125
1775283742.3250458,234677,1178.199951171875
1775283767.7437947,238208,1187.5999755859375
1775283775.5196235,239285,1189.199951171875
1775283796.8941972,242246,1199.800048828125
1775283813.5049965,244565,1196.4000244140625
1775283836.2017744,247690,1206.0
1775283848.7568347,249445,1223.0
1775283882.8710575,254095,1214.4000244140625
1775283905.248762,257182,1230.5999755859375
1775283933.4265473,261050,1242.5999755859375
1775283963.740638,265192,1238.5999755859375
1775283984.5774825,268088,1254.4000244140625
1775284010.5407145,271657,1294.199951171875
1775284023.6164317,273467,1295.0
1775284032.8205743,274742,1294.199951171875
1775284046.375969,276627,1296.199951171875
1775284073.672182,280383,1298.5999755859375
1775284092.650387,283003,1305.5999755859375
1775284103.9361162,284589,1314.199951171875
1775284126.144187,287660,1309.0
1775284139.3779397,289491,1317.800048828125
1775284151.0891302,291144,1310.4000244140625
1775284176.0293446,294593,1357.199951171875
1775284195.891755,297322,1360.0
1775284209.907329,299256,1357.199951171875
