Wall time,Step,Value
1775317511.664994,3583,10699.0
1775317517.3858135,6103,8577.0
1775317523.4026253,8743,8792.0
1775317526.4988465,10038,7363.0
1775317544.6502476,13759,7886.5
1775317566.3208272,18073,9084.5
1775317585.002427,21701,9198.888671875
1775317599.5232916,24492,9241.2001953125
1775317612.699313,26977,9041.8330078125
1775317625.61249,29406,8993.0771484375
1775317630.2139132,30266,8499.142578125
1775317642.687882,32562,8190.1875
1775317658.2037818,35386,8247.0
1775317668.0794997,37159,8152.388671875
1775317680.975001,39451,7938.2001953125
1775317696.9108088,42256,7902.380859375
1775317708.9197204,44348,7903.63623046875
1775317723.3305123,46859,7858.91650390625
1775317743.6517465,50347,7916.9599609375
1775317762.3185186,53578,8093.115234375
1775317776.7742083,56076,8060.03564453125
1775317785.8803706,57653,7975.689453125
1775317800.1550264,60124,7949.7666015625
1775317810.0293188,61830,7777.84375
1775317823.5941374,64178,7678.48486328125
1775317829.85586,65270,7655.11767578125
1775317842.0901005,67387,7536.75
1775317867.9346924,71844,7670.2705078125
1775317889.7523818,75606,7820.60546875
1775317907.5041175,78684,7918.27490234375
1775317921.7243679,81158,7920.755859375
1775317936.8904908,83753,7863.64306640625
1775317943.6876,84945,7771.5908203125
1775317966.1499472,88773,7807.9775390625
1775317980.4029567,91247,7887.7392578125
1775318005.6313176,95620,8017.85400390625
1775318026.259933,99180,8097.8369140625
1775318037.2452188,101089,8054.35986328125
1775318047.2228162,102812,7958.1923828125
1775318058.6678007,104797,7905.50927734375
1775318073.0281682,107274,7817.37060546875
1775318083.7799797,109145,7845.03564453125
1775318093.5057175,110830,7795.22802734375
1775318103.9445562,112658,7742.5517578125
1775318118.8336897,115229,7730.86669921875
1775318136.4418569,118233,7736.787109375
1775318155.916903,121537,7786.08056640625
1775318173.4763336,124572,7834.921875
1775318191.3941746,127667,7844.84619140625
1775318206.8245082,130332,7903.07568359375
1775318217.0273917,132088,7819.05859375
1775318237.1059842,135506,7842.85498046875
1775318258.281713,139147,7890.25732421875
1775318277.5152526,142454,7963.388671875
1775318291.2271924,144809,7952.75341796875
1775318298.0840304,145984,7909.0
1775318311.889753,148360,7857.68408203125
1775318324.5053525,150540,7837.298828125
1775318339.6566129,153163,7830.3203125
1775318348.6427743,154711,7785.0625
1775318368.7080626,158162,7801.07421875
1775318389.271688,161691,7825.89013671875
1775318409.5360591,165153,7914.02392578125
1775318422.0973673,167311,7881.67041015625
1775318441.071841,170588,7900.53466796875
1775318451.9897356,172442,7887.54541015625
1775318474.081311,176206,7930.89892578125
1775318484.4030516,177987,7923.48876953125
1775318504.311276,181413,7936.72802734375
1775318522.8210862,184583,7930.41943359375
1775318541.3100705,187768,7981.46826171875
1775318557.979599,190651,7993.15625
1775318581.6162293,194717,8034.6083984375
1775318603.0208988,198406,8050.908203125
1775318619.7589242,201212,8098.0498046875
1775318636.7644875,204129,8045.39990234375
1775318657.7780588,207762,8089.77978515625
1775318681.9221694,211920,8176.7001953125
1775318705.5253155,215928,8273.650390625
1775318721.337231,218628,8251.5302734375
1775318739.4026585,221732,8195.9404296875
1775318760.8308456,225418,8197.6201171875
1775318765.821933,226288,8153.330078125
1775318784.1655824,229438,8147.52978515625
1775318804.0162997,232854,8182.31005859375
1775318826.7495842,236727,8235.7197265625
1775318843.182741,239539,8328.08984375
1775318858.9904234,242263,8300.009765625
1775318877.7690206,245520,8347.169921875
1775318893.412865,248206,8399.2099609375
1775318908.320831,250788,8403.6201171875
1775318931.3466585,254762,8431.23046875
1775318953.8165176,258612,8518.75
1775318977.5080082,262698,8533.2197265625
1775318991.8947804,265179,8472.3603515625
1775319010.6229022,268404,8541.7802734375
1775319025.0868762,270903,8551.1796875
1775319037.151482,272989,8519.650390625
1775319057.769526,276525,8636.3203125
1775319078.013819,279984,8702.3798828125
1775319104.6063228,284507,8772.0595703125
1775319126.7661114,288282,8884.3095703125
1775319140.9785295,290749,8810.2001953125
1775319148.2637947,292020,8745.3896484375
1775319167.6503267,295343,8714.740234375
1775319178.3240654,297205,8669.58984375
