Wall time,Step,Value
1775317511.665011,3583,1180.0
1775317517.3858283,6103,1590.0
1775317523.4026423,8743,1615.0
1775317526.4988608,10038,1292.0
1775317544.6502624,13759,1323.3333740234375
1775317566.3208466,18073,1627.5
1775317585.0024433,21701,1535.5555419921875
1775317599.523308,24492,1870.0
1775317612.6993277,26977,1811.6666259765625
1775317625.612525,29406,1901.5384521484375
1775317630.213929,30266,1777.142822265625
1775317642.6879032,32562,1710.0
1775317658.2038023,35386,1721.176513671875
1775317668.0795155,37159,1638.888916015625
1775317680.975015,39451,1603.0
1775317696.910829,42256,1544.761962890625
1775317708.919735,44348,1506.3636474609375
1775317723.3305273,46859,1503.3333740234375
1775317743.6517644,50347,1504.0
1775317762.318533,53578,1446.15380859375
1775317776.7748873,56076,1425.0
1775317785.8803873,57653,1395.17236328125
1775317800.1550453,60124,1380.6666259765625
1775317810.0293334,61830,1314.375
1775317823.5941544,64178,1286.6666259765625
1775317829.855874,65270,1265.2940673828125
1775317842.0901206,67387,1215.0
1775317867.934711,71844,1210.270263671875
1775317889.7523952,75606,1188.9473876953125
1775317907.5041327,78684,1205.0
1775317921.7243845,81158,1183.4146728515625
1775317936.890506,83753,1185.7142333984375
1775317943.6876152,84945,1166.8182373046875
1775317966.1499624,88773,1166.6666259765625
1775317980.4029703,91247,1170.0
1775318005.631333,95620,1164.5833740234375
1775318026.2599473,99180,1175.10205078125
1775318037.245241,101089,1161.199951171875
1775318047.2228303,102812,1135.0
1775318058.667815,104797,1113.5849609375
1775318073.028188,107274,1097.4073486328125
1775318083.7799952,109145,1062.5
1775318093.5057316,110830,1057.894775390625
1775318103.9445703,112658,1046.5517578125
1775318118.8337073,115229,1060.3333740234375
1775318136.441873,118233,1082.9508056640625
1775318155.916921,121537,1074.193603515625
1775318173.4763474,124572,1062.1875
1775318191.3941946,127667,1082.4615478515625
1775318206.8245375,130332,1066.060546875
1775318217.027407,132088,1064.7059326171875
1775318237.1060014,135506,1072.1739501953125
1775318258.2817273,139147,1068.2857666015625
1775318277.5152676,142454,1047.77783203125
1775318291.2272086,144809,1041.643798828125
1775318298.0840456,145984,1028.108154296875
1775318311.8897672,148360,1015.0
1775318324.5053675,150540,1005.9739990234375
1775318339.6566272,153163,997.1795043945312
1775318348.6427896,154711,991.5
1775318368.7080777,158162,985.43212890625
1775318389.2717032,161691,1009.756103515625
1775318409.536078,165153,1052.857177734375
1775318422.0973823,167311,1042.3529052734375
1775318441.0718594,170588,1043.720947265625
1775318451.989751,172442,1045.45458984375
1775318474.081326,176206,1051.460693359375
1775318484.4030666,177987,1050.4444580078125
1775318504.3113031,181413,1059.3477783203125
1775318522.82111,184583,1070.752685546875
1775318541.310096,187768,1059.3616943359375
1775318557.9796212,190651,1070.4166259765625
1775318581.6162455,194717,1059.3814697265625
1775318603.0209136,198406,1062.857177734375
1775318619.758939,201212,1057.800048828125
1775318636.7645056,204129,1084.800048828125
1775318657.7780766,207762,1068.0
1775318681.9221888,211920,1061.0
1775318705.5253317,215928,1068.0
1775318721.3372455,218628,1072.4000244140625
1775318739.4026773,221732,1029.5999755859375
1775318760.8308604,225418,1035.800048828125
1775318765.821954,226288,1002.2000122070312
1775318784.1656034,229438,973.4000244140625
1775318804.0163152,232854,955.5999755859375
1775318826.7496026,236727,963.7999877929688
1775318843.1827555,239539,957.0
1775318858.9904425,242263,943.7999877929688
1775318877.7690365,245520,944.0
1775318893.4128797,248206,975.7999877929688
1775318908.320845,250788,980.4000244140625
1775318931.3466768,254762,986.7999877929688
1775318953.816535,258612,987.2000122070312
1775318977.508029,262698,988.5999755859375
1775318991.894795,265179,989.4000244140625
1775319010.6229274,268404,985.7999877929688
1775319025.0868902,270903,981.7999877929688
1775319037.151498,272989,977.7999877929688
1775319057.7695403,276525,995.5999755859375
1775319078.0138366,279984,991.5999755859375
1775319104.606347,284507,1002.2000122070312
1775319126.7661264,288282,1009.2000122070312
1775319140.9785442,290749,1011.7999877929688
1775319148.2638106,292020,1010.7999877929688
1775319167.6503425,295343,998.4000244140625
1775319178.324086,297205,1001.2000122070312
