Wall time,Step,Value
1775279898.2928202,3343,1480.0
1775279903.4315758,5593,2590.0
1775279913.2703197,8596,2505.0
1775279929.6619036,11147,2628.0
1775279938.5532575,12517,2370.0
1775279955.5347085,15077,2120.0
1775279977.0765452,18083,2246.666748046875
1775279996.16934,20708,2390.0
1775280024.42884,24473,2231.666748046875
1775280036.9119272,26067,2101.53857421875
1775280059.0694847,29194,2108.571533203125
1775280079.812123,32154,2018.75
1775280091.3907466,33808,1983.5294189453125
1775280117.2064426,36838,1973.3333740234375
1775280138.2207947,39139,2096.0
1775280168.522796,42787,2120.0
1775280192.927043,45756,2060.0
1775280218.4569278,48943,1983.3333740234375
1775280235.2689006,51182,1916.800048828125
1775280251.4906466,53365,1944.6153564453125
1775280261.388239,54687,1944.2857666015625
1775280293.6572835,58716,2026.8966064453125
1775280318.9174054,61121,1969.3333740234375
1775280340.4496696,63469,1885.0
1775280357.902222,65485,1895.1514892578125
1775280383.0581365,68056,1870.5882568359375
1775280404.488331,70515,1793.3333740234375
1775280418.3896267,72120,1760.0
1775280439.095208,74062,1715.7894287109375
1775280451.8486905,75656,1654.0
1775280468.7679577,77785,1639.51220703125
1775280484.0129879,79819,1606.1904296875
1775280489.5089362,80564,1542.272705078125
1775280504.9660916,82558,1552.888916015625
1775280523.679098,84996,1527.391357421875
1775280545.5113437,87904,1501.6666259765625
1775280562.1841118,90054,1488.9796142578125
1775280573.7048576,91560,1462.4000244140625
1775280594.4254198,94235,1455.769287109375
1775280614.4983258,96939,1428.3018798828125
1775280625.9387338,98416,1406.2962646484375
1775280644.316894,100666,1410.0
1775280660.8878124,102678,1412.28076171875
1775280688.893026,106111,1387.9310302734375
1775280697.4804387,107248,1386.0
1775280715.7021008,109640,1396.3934326171875
1775280733.7411735,112004,1389.3548583984375
1775280754.7614894,114749,1355.9375
1775280773.0997648,117155,1337.5384521484375
1775280788.897903,119243,1325.757568359375
1775280801.6237433,120890,1296.4705810546875
1775280831.8379085,124863,1297.1014404296875
1775280845.9262352,126727,1290.857177734375
1775280861.6397476,128793,1330.0
1775280877.1007195,130569,1311.78076171875
1775280905.7276304,133966,1294.0540771484375
1775280919.6265306,135730,1292.631591796875
1775280941.3333678,138132,1280.0
1775280961.4994266,140772,1283.076904296875
1775280970.6770463,141978,1267.25
1775280990.7445657,144595,1273.3333740234375
1775281015.972113,147862,1257.804931640625
1775281026.3916433,149308,1254.5238037109375
1775281042.8950696,151595,1245.4117431640625
1775281048.980852,152448,1233.720947265625
1775281055.5078933,153355,1209.3182373046875
1775281078.9005306,156606,1214.606689453125
1775281105.5365765,160295,1208.6666259765625
1775281125.7756193,163123,1235.8695068359375
1775281141.0406814,165259,1231.6129150390625
1775281157.6290414,167567,1240.85107421875
1775281172.3853226,169605,1243.125
1775281187.9185534,171753,1240.6185302734375
1775281210.0743253,174851,1258.3673095703125
1775281222.0100548,176500,1235.5999755859375
1775281241.673936,179239,1220.800048828125
1775281253.3224492,180880,1188.5999755859375
1775281275.0698419,183897,1146.5999755859375
1775281299.8406758,187315,1133.5999755859375
1775281325.6218402,190888,1130.800048828125
1775281355.5709715,195019,1131.800048828125
1775281370.3336964,197071,1101.5999755859375
1775281397.035209,200767,1078.0
1775281419.1303945,203822,1076.199951171875
1775281434.139166,205925,1076.4000244140625
1775281444.607476,207393,1054.4000244140625
1775281463.3252745,209993,1049.5999755859375
1775281491.9270892,213945,1050.0
1775281523.3421385,218268,1042.199951171875
1775281543.3181832,221027,982.2000122070312
1775281559.4947522,223259,966.7999877929688
1775281582.483339,226432,969.7999877929688
1775281610.744042,230349,958.0
1775281625.704301,232441,958.7999877929688
1775281631.1265323,233195,933.2000122070312
1775281648.9806194,235676,925.0
1775281670.7970243,238688,883.2000122070312
1775281687.4067335,240979,900.0
1775281713.9676876,244647,905.5999755859375
1775281743.3651564,248703,883.4000244140625
1775281757.2179286,250629,876.7999877929688
1775281774.6703246,253068,908.2000122070312
1775281786.541475,254745,914.5999755859375
1775281806.804537,257545,935.0
1775281827.6342976,260416,964.5999755859375
1775281845.0754912,262840,965.2000122070312
1775281866.422799,265796,978.0
1775281898.9264376,270263,991.2000122070312
1775281914.9099467,272490,976.4000244140625
1775281933.833737,275111,985.0
1775281960.2404299,278737,972.5999755859375
1775281981.5420756,281702,975.2000122070312
1775282004.803699,284948,985.0
1775282011.856951,285947,974.2000122070312
1775282031.1257935,288623,989.4000244140625
1775282043.7988482,290396,1003.0
1775282054.9392297,291937,995.4000244140625
1775282066.0281692,293475,983.7999877929688
1775282081.709646,295630,996.7999877929688
1775282097.4009113,297811,985.4000244140625
